name,type,description
Tokyo Ghoul_Alt471,Comics,A world of soul reapers and hollows.
Trigun_Alt472,Game,A ninja world with chakra and jutsu.
Gurren Lagann_Alt473,Comics,A virtual reality gaming universe.
Tekken_Alt474,Book,A world where stands rule everything.
Fullmetal Alchemist_Alt475,Comics,A post-apocalyptic world with titans.
That Time I Got Reincarnated_Alt476,Comics,A world of soul reapers and hollows.
Fullmetal Alchemist_Alt477,IRL,A world of soul reapers and hollows.
Bleach_Alt478,Manga,A universe full of superheroes and villains.
Fullmetal Alchemist_Alt479,Movie,A universe full of superheroes and villains.
Tekken_Alt480,Movie,A world of pirates and devil fruits.
Guilty Gear_Alt481,Book,A post-apocalyptic world with titans.
Tekken_Alt482,Manga,A world of soul reapers and hollows.
Dragon Ball_Alt483,Movie,A dark and gritty world of crime and power.
Sword Art Online_Alt484,Book,A world of soul reapers and hollows.
Attack on Titan_Alt485,Serial,A ninja world with chakra and jutsu.
Mortal Kombat_Alt486,Movie,A universe with Saiyans and ki battles.
My Hero Academia_Alt487,Movie,A hero society with quirks.
One Piece_Alt488,Serial,A universe with Saiyans and ki battles.
Marvel_Alt489,Anime,A universe with Saiyans and ki battles.
Game of Thrones_Alt490,Book,A post-apocalyptic world with titans.
Elder Scrolls_Alt491,Anime,A virtual reality gaming universe.
Tokyo Ghoul_Alt492,Serial,A world of soul reapers and hollows.
MGS_Alt493,Book,A dark and gritty world of crime and power.
Halo_Alt494,IRL,A dark and gritty world of crime and power.
Mortal Kombat_Alt495,Comics,A dark and gritty world of crime and power.
The Witcher_Alt496,Manga,A ninja world with chakra and jutsu.
Elden Ring_Alt497,Comics,A universe full of superheroes and villains.
Overlord_Alt498,Manga,A hero society with quirks.
Trigun_Alt499,Serial,A dark and gritty world of crime and power.
