name,skills,powerscale,description,age,dclass_id,characteristics_id,universe_id
Captain America 1245,"Quirk: One for All, 100% Detroit Smash",312912,A powerful warrior from another universe.,,2712,3066,280
Rimuru 1246,"Titan shifter, 3D maneuver gear",201082,A powerful warrior from another universe.,4439,1354,5893,346
Saitama 1247,"Super strength, flight, laser vision",353386,A powerful warrior from another universe.,,8011,3440,85
Jonathan 1248,"Soul reaper powers, bankai, hollow form",543897,A powerful warrior from another universe.,2515,7738,1617,312
Levi 1249,"Soul reaper powers, bankai, hollow form",8421,A powerful warrior from another universe.,,4451,247,431
All Might 1250,"Speed force, time travel, infinite mass punch",944098,A powerful warrior from another universe.,,9141,3406,404
Yui 1251,None,213923,A powerful warrior from another universe.,,4252,6948,455
Josuke 1252,"Speed force, time travel, infinite mass punch",994444,A powerful warrior from another universe.,4712,4487,3043,325
Aizen 1253,"Quirk: One for All, 100% Detroit Smash",572932,A powerful warrior from another universe.,,3739,3414,105
Ichigo 1254,"Ki manipulation, instant transmission, ultra instinct",790783,A powerful warrior from another universe.,8060,5348,6175,3
Inosuke 1255,"Stand power, time stop, vampirism",416985,A powerful warrior from another universe.,,8598,3380,202
Itachi 1256,None,250131,A powerful warrior from another universe.,510,3774,5873,461
Yui 1257,"Slime abilities, unlimited shapeshifting",661576,A powerful warrior from another universe.,,4232,1610,484
Asuna 1258,"Quirk: One for All, 100% Detroit Smash",940172,A powerful warrior from another universe.,,835,738,474
Dio 1259,"Sharingan, Rinnegan, Susanoo, genjutsu",180725,A powerful warrior from another universe.,8765,1411,5201,489
Thanos 1260,"Combat knife, martial arts, stealth",724427,A powerful warrior from another universe.,,2157,209,455
Asuna 1261,"Dark magic, undead army, time stop",809349,A powerful warrior from another universe.,7972,1284,4052,466
Mikasa 1262,"Quirk: One for All, 100% Detroit Smash",721983,A powerful warrior from another universe.,3268,4710,1619,368
Agil 1263,"Sharingan, Rinnegan, Susanoo, genjutsu",886729,A powerful warrior from another universe.,508,680,822,448
Rengoku 1264,"Combat knife, martial arts, stealth",278687,A powerful warrior from another universe.,4259,8155,6317,240
Captain America 1265,"Breathing techniques, demon slayer mark",982734,A powerful warrior from another universe.,,9024,9754,242
Itachi 1266,"Firearms, explosives, tactical genius",446033,A powerful warrior from another universe.,,5201,496,414
Zoro 1267,"Breathing techniques, demon slayer mark",755520,A powerful warrior from another universe.,6295,3877,9307,286
All Might 1268,"Firearms, explosives, tactical genius",478805,A powerful warrior from another universe.,1434,7780,1471,207
Asuna 1269,"Super strength, flight, laser vision",441023,A powerful warrior from another universe.,7039,8570,2108,29
Giorno 1270,None,859779,A powerful warrior from another universe.,,9057,2759,428
Aizen 1271,"Firearms, explosives, tactical genius",818855,A powerful warrior from another universe.,,214,3639,448
Itachi 1272,"Titan shifter, 3D maneuver gear",557486,A powerful warrior from another universe.,,3902,8998,409
Itachi 1273,"Super strength, flight, laser vision",871982,A powerful warrior from another universe.,6858,5291,2959,200
Levi 1274,"Super strength, flight, laser vision",604338,A powerful warrior from another universe.,4057,2524,4932,293
Kirito 1275,"Breathing techniques, demon slayer mark",723418,A powerful warrior from another universe.,5744,7320,7312,424
Kazuma 1276,"Ki manipulation, instant transmission, ultra instinct",152903,A powerful warrior from another universe.,846,3552,7726,480
Spider Man 1277,"Stand power, time stop, vampirism",222795,A powerful warrior from another universe.,6848,4704,1224,103
Luffy 1278,"Firearms, explosives, tactical genius",681480,A powerful warrior from another universe.,3863,842,3196,489
Vegeta 1279,"Soul reaper powers, bankai, hollow form",876732,A powerful warrior from another universe.,2528,6723,1408,446
Thanos 1280,"Breathing techniques, demon slayer mark",77669,A powerful warrior from another universe.,5379,4595,5389,357
Jotaro 1281,"Haki, devil fruit, conqueror haki",441878,A powerful warrior from another universe.,,8944,4468,357
Yui 1282,"Speed force, time travel, infinite mass punch",952175,A powerful warrior from another universe.,,7840,4715,336
Jonathan 1283,"Ki manipulation, instant transmission, ultra instinct",506315,A powerful warrior from another universe.,,5340,5050,61
Todoroki 1284,None,151264,A powerful warrior from another universe.,,6692,1912,341
Leafa 1285,"Sharingan, Rinnegan, Susanoo, genjutsu",424120,A powerful warrior from another universe.,3485,4058,1398,112
Zoro 1286,"Breathing techniques, demon slayer mark",460043,A powerful warrior from another universe.,,5851,7932,433
Mikasa 1287,"Soul reaper powers, bankai, hollow form",70193,A powerful warrior from another universe.,3172,8876,3723,189
All Might 1288,"Slime abilities, unlimited shapeshifting",944482,A powerful warrior from another universe.,,7335,2970,226
Mikasa 1289,None,727890,A powerful warrior from another universe.,3730,858,7873,299
Madara 1290,"Breathing techniques, demon slayer mark",331894,A powerful warrior from another universe.,8949,2588,5256,127
Batman 1291,"Firearms, explosives, tactical genius",54423,A powerful warrior from another universe.,668,1157,4306,338
Aizen 1292,"Slime abilities, unlimited shapeshifting",701373,A powerful warrior from another universe.,2833,8422,8186,365
Inosuke 1293,"Sharingan, Rinnegan, Susanoo, genjutsu",270731,A powerful warrior from another universe.,,3332,8854,417
Vegeta 1294,"Sharingan, Rinnegan, Susanoo, genjutsu",826868,A powerful warrior from another universe.,9496,3842,5521,230
Kazuma 1295,"Dark magic, undead army, time stop",109829,A powerful warrior from another universe.,,3104,183,162
Agil 1296,"Haki, devil fruit, conqueror haki",342364,A powerful warrior from another universe.,6320,796,2378,486
Gintoki 1297,"Super strength, flight, laser vision",521760,A powerful warrior from another universe.,3085,5149,1873,3
Spider Man 1298,"Dark magic, undead army, time stop",37665,A powerful warrior from another universe.,6607,961,2325,67
Sinon 1299,"Sharingan, Rinnegan, Susanoo, genjutsu",322139,A powerful warrior from another universe.,2960,9713,2909,150
Erwin 1300,"Dark magic, undead army, time stop",607085,A powerful warrior from another universe.,3834,4605,5617,370
Rengoku 1301,"Dark magic, undead army, time stop",931151,A powerful warrior from another universe.,6929,2392,9847,160
Hulk 1302,"Quirk: One for All, 100% Detroit Smash",739977,A powerful warrior from another universe.,,7282,307,321
Tanjiro 1303,None,160795,A powerful warrior from another universe.,7020,9689,4328,164
Sasuke 1304,"Titan shifter, 3D maneuver gear",514636,A powerful warrior from another universe.,311,5717,3349,59
Rengoku 1305,"Breathing techniques, demon slayer mark",243267,A powerful warrior from another universe.,,9538,398,361
Bakugo 1306,None,988588,A powerful warrior from another universe.,,7868,5287,335
Gintoki 1307,"Firearms, explosives, tactical genius",228984,A powerful warrior from another universe.,,563,1143,263
Sinon 1308,"Breathing techniques, demon slayer mark",678840,A powerful warrior from another universe.,,1028,4938,172
Klein 1309,None,912041,A powerful warrior from another universe.,6460,6919,4662,270
Josuke 1310,"Super strength, flight, laser vision",456952,A powerful warrior from another universe.,9763,5689,1346,84
Agil 1311,"Super strength, flight, laser vision",82529,A powerful warrior from another universe.,,3661,1596,8
Zenitsu 1312,"Quirk: One for All, 100% Detroit Smash",639453,A powerful warrior from another universe.,,6781,1828,166
Dio 1313,"Slime abilities, unlimited shapeshifting",215406,A powerful warrior from another universe.,6074,8732,4819,303
Giorno 1314,"Quirk: One for All, 100% Detroit Smash",755534,A powerful warrior from another universe.,1042,6507,6176,459
Tanjiro 1315,"Firearms, explosives, tactical genius",36976,A powerful warrior from another universe.,,6567,8102,377
Aizen 1316,"Speed force, time travel, infinite mass punch",751431,A powerful warrior from another universe.,,2170,3671,172
All Might 1317,"Quirk: One for All, 100% Detroit Smash",803563,A powerful warrior from another universe.,8076,581,3810,448
Ainz 1318,"Slime abilities, unlimited shapeshifting",481781,A powerful warrior from another universe.,,7667,8475,400
Kakashi 1319,"Speed force, time travel, infinite mass punch",985279,A powerful warrior from another universe.,,7061,7397,171
Superman 1320,"Super strength, flight, laser vision",146908,A powerful warrior from another universe.,,5851,4413,128
Yui 1321,"Ki manipulation, instant transmission, ultra instinct",57105,A powerful warrior from another universe.,2044,2370,4677,58
Sasuke 1322,"Slime abilities, unlimited shapeshifting",961953,A powerful warrior from another universe.,,9502,5109,385
Thor 1323,"Ki manipulation, instant transmission, ultra instinct",771432,A powerful warrior from another universe.,,4820,990,64
Batman 1324,None,527611,A powerful warrior from another universe.,,4061,2115,352
Deku 1325,"Ki manipulation, instant transmission, ultra instinct",888240,A powerful warrior from another universe.,7328,273,7010,353
Itachi 1326,"Ki manipulation, instant transmission, ultra instinct",653758,A powerful warrior from another universe.,6379,2267,6255,340
Ichigo 1327,"Firearms, explosives, tactical genius",451381,A powerful warrior from another universe.,5299,809,5905,244
Zenitsu 1328,"Slime abilities, unlimited shapeshifting",211359,A powerful warrior from another universe.,,1451,3127,95
All Might 1329,"Titan shifter, 3D maneuver gear",47123,A powerful warrior from another universe.,4357,2357,5129,395
Agil 1330,"Titan shifter, 3D maneuver gear",47966,A powerful warrior from another universe.,,9214,6000,4
Luffy 1331,"Ki manipulation, instant transmission, ultra instinct",151533,A powerful warrior from another universe.,433,3416,5627,83
Hulk 1332,"Speed force, time travel, infinite mass punch",451147,A powerful warrior from another universe.,3378,553,5259,366
Darkness 1333,"Combat knife, martial arts, stealth",506237,A powerful warrior from another universe.,8657,9106,1057,125
Agil 1334,None,417963,A powerful warrior from another universe.,,1974,778,55
Thor 1335,"Sharingan, Rinnegan, Susanoo, genjutsu",185344,A powerful warrior from another universe.,7117,8503,439,435
Agil 1336,"Soul reaper powers, bankai, hollow form",356194,A powerful warrior from another universe.,8542,7813,5376,321
Ichigo 1337,"Breathing techniques, demon slayer mark",56683,A powerful warrior from another universe.,115,7168,6481,315
Superman 1338,"Breathing techniques, demon slayer mark",304667,A powerful warrior from another universe.,,8136,6824,283
Goku 1339,"Super strength, flight, laser vision",696458,A powerful warrior from another universe.,,8553,4803,339
Giorno 1340,"Breathing techniques, demon slayer mark",324016,A powerful warrior from another universe.,,1079,8068,413
Superman 1341,None,161577,A powerful warrior from another universe.,552,9441,4331,440
Kirito 1342,"Slime abilities, unlimited shapeshifting",362067,A powerful warrior from another universe.,2385,4814,7384,358
Luffy 1343,"Titan shifter, 3D maneuver gear",442975,A powerful warrior from another universe.,,8218,9482,494
Inosuke 1344,"Firearms, explosives, tactical genius",105600,A powerful warrior from another universe.,,1101,1399,158
Zenitsu 1345,"Quirk: One for All, 100% Detroit Smash",634659,A powerful warrior from another universe.,,6000,8384,65
Thanos 1346,"Slime abilities, unlimited shapeshifting",282585,A powerful warrior from another universe.,1797,1826,4199,60
Ichigo 1347,"Titan shifter, 3D maneuver gear",467858,A powerful warrior from another universe.,,3541,8081,218
Zenitsu 1348,"Dark magic, undead army, time stop",338758,A powerful warrior from another universe.,,7853,8245,359
Hulk 1349,"Sharingan, Rinnegan, Susanoo, genjutsu",146383,A powerful warrior from another universe.,4359,9440,5422,94
Bakugo 1350,"Speed force, time travel, infinite mass punch",260892,A powerful warrior from another universe.,5955,7260,1851,424
Dio 1351,"Dark magic, undead army, time stop",341513,A powerful warrior from another universe.,,3411,7674,162
Jonathan 1352,"Ki manipulation, instant transmission, ultra instinct",621393,A powerful warrior from another universe.,,9510,480,389
Goku 1353,"Ki manipulation, instant transmission, ultra instinct",977766,A powerful warrior from another universe.,3537,8185,9594,17
Ainz 1354,"Super strength, flight, laser vision",797443,A powerful warrior from another universe.,,2255,6278,11
Darkness 1355,"Slime abilities, unlimited shapeshifting",578910,A powerful warrior from another universe.,2568,2289,7836,284
Endeavor 1356,"Slime abilities, unlimited shapeshifting",88441,A powerful warrior from another universe.,1719,8812,6561,301
Aqua 1357,"Sharingan, Rinnegan, Susanoo, genjutsu",429988,A powerful warrior from another universe.,3554,6467,5150,219
Kirito 1358,"Titan shifter, 3D maneuver gear",480665,A powerful warrior from another universe.,8216,5569,472,468
Luffy 1359,"Quirk: One for All, 100% Detroit Smash",738484,A powerful warrior from another universe.,6271,9259,7400,422
Luffy 1360,"Speed force, time travel, infinite mass punch",378547,A powerful warrior from another universe.,,4299,8314,128
Gintoki 1361,"Super strength, flight, laser vision",243324,A powerful warrior from another universe.,6838,8525,9100,283
Madara 1362,"Soul reaper powers, bankai, hollow form",262775,A powerful warrior from another universe.,3307,5269,6311,499
Agil 1363,None,434389,A powerful warrior from another universe.,3961,1626,1250,91
Sinon 1364,None,123579,A powerful warrior from another universe.,,5326,8478,428
Rengoku 1365,"Breathing techniques, demon slayer mark",726525,A powerful warrior from another universe.,,9460,379,99
Naruto 1366,"Sharingan, Rinnegan, Susanoo, genjutsu",344933,A powerful warrior from another universe.,,7774,29,394
Thanos 1367,None,308751,A powerful warrior from another universe.,9816,8282,9429,144
Darkness 1368,"Super strength, flight, laser vision",731849,A powerful warrior from another universe.,7824,1723,3381,49
Deku 1369,"Speed force, time travel, infinite mass punch",618791,A powerful warrior from another universe.,8927,8706,7967,34
Inosuke 1370,None,87204,A powerful warrior from another universe.,,661,9882,349
Vegeta 1371,"Combat knife, martial arts, stealth",46575,A powerful warrior from another universe.,2944,1049,8864,339
Aizen 1372,"Sharingan, Rinnegan, Susanoo, genjutsu",502014,A powerful warrior from another universe.,9122,6334,5,431
Zoro 1373,"Slime abilities, unlimited shapeshifting",473207,A powerful warrior from another universe.,254,2486,3664,414
Mikasa 1374,"Slime abilities, unlimited shapeshifting",247978,A powerful warrior from another universe.,193,5751,8780,101
Naruto 1375,"Soul reaper powers, bankai, hollow form",324251,A powerful warrior from another universe.,,7766,1674,237
Levi 1376,"Soul reaper powers, bankai, hollow form",917333,A powerful warrior from another universe.,,302,1034,379
Rimuru 1377,"Soul reaper powers, bankai, hollow form",287794,A powerful warrior from another universe.,,5649,9359,322
Mikasa 1378,"Firearms, explosives, tactical genius",419002,A powerful warrior from another universe.,,1496,8419,159
Jonathan 1379,"Firearms, explosives, tactical genius",414950,A powerful warrior from another universe.,9345,9661,3617,56
Mikasa 1380,"Slime abilities, unlimited shapeshifting",826162,A powerful warrior from another universe.,,3521,7995,457
Spider Man 1381,None,466090,A powerful warrior from another universe.,,3346,6799,108
Tanjiro 1382,"Haki, devil fruit, conqueror haki",990393,A powerful warrior from another universe.,,2632,3281,378
Subaru 1383,"Quirk: One for All, 100% Detroit Smash",25272,A powerful warrior from another universe.,4377,7142,2843,411
Erwin 1384,"Speed force, time travel, infinite mass punch",357825,A powerful warrior from another universe.,523,3593,2755,401
Kakashi 1385,"Speed force, time travel, infinite mass punch",850235,A powerful warrior from another universe.,6749,3257,2786,7
Aqua 1386,"Slime abilities, unlimited shapeshifting",665326,A powerful warrior from another universe.,8024,6826,3946,170
Iron Man 1387,"Stand power, time stop, vampirism",113855,A powerful warrior from another universe.,1954,9822,7744,213
Spider Man 1388,"Sharingan, Rinnegan, Susanoo, genjutsu",550389,A powerful warrior from another universe.,4602,1480,363,251
Aizen 1389,"Breathing techniques, demon slayer mark",767468,A powerful warrior from another universe.,1411,9368,930,136
Captain America 1390,"Breathing techniques, demon slayer mark",906816,A powerful warrior from another universe.,,4336,1607,79
Subaru 1391,"Ki manipulation, instant transmission, ultra instinct",585419,A powerful warrior from another universe.,3664,9222,6774,448
Leafa 1392,"Slime abilities, unlimited shapeshifting",188319,A powerful warrior from another universe.,,8463,2763,154
Kazuma 1393,"Dark magic, undead army, time stop",422997,A powerful warrior from another universe.,,3299,3973,421
Bakugo 1394,"Ki manipulation, instant transmission, ultra instinct",665254,A powerful warrior from another universe.,,6842,5935,289
Sinon 1395,"Sharingan, Rinnegan, Susanoo, genjutsu",825625,A powerful warrior from another universe.,9357,7009,7594,487
Emilia 1396,"Slime abilities, unlimited shapeshifting",804963,A powerful warrior from another universe.,,8291,1515,329
Levi 1397,"Stand power, time stop, vampirism",317046,A powerful warrior from another universe.,,6684,8460,242
Aizen 1398,None,304718,A powerful warrior from another universe.,522,8219,9633,50
Aqua 1399,"Slime abilities, unlimited shapeshifting",425157,A powerful warrior from another universe.,,7271,1769,204
Zoro 1400,"Stand power, time stop, vampirism",397540,A powerful warrior from another universe.,,4670,3120,135
Deku 1401,"Combat knife, martial arts, stealth",245777,A powerful warrior from another universe.,3669,8457,5837,19
Luffy 1402,"Ki manipulation, instant transmission, ultra instinct",119965,A powerful warrior from another universe.,,3204,9425,213
Batman 1403,"Soul reaper powers, bankai, hollow form",262090,A powerful warrior from another universe.,1095,8929,2258,147
Jotaro 1404,"Haki, devil fruit, conqueror haki",769550,A powerful warrior from another universe.,,8047,1685,221
Subaru 1405,"Dark magic, undead army, time stop",486229,A powerful warrior from another universe.,,9066,2406,23
Aqua 1406,"Haki, devil fruit, conqueror haki",627196,A powerful warrior from another universe.,,3505,4974,40
Hulk 1407,"Firearms, explosives, tactical genius",389466,A powerful warrior from another universe.,,6224,435,74
Saitama 1408,"Quirk: One for All, 100% Detroit Smash",212561,A powerful warrior from another universe.,,6985,9237,114
All Might 1409,"Haki, devil fruit, conqueror haki",333873,A powerful warrior from another universe.,7100,7357,9260,78
Mikasa 1410,"Quirk: One for All, 100% Detroit Smash",500056,A powerful warrior from another universe.,,7022,6425,468
Zoro 1411,"Sharingan, Rinnegan, Susanoo, genjutsu",476151,A powerful warrior from another universe.,,5737,555,491
Hawks 1412,"Quirk: One for All, 100% Detroit Smash",203404,A powerful warrior from another universe.,2113,4615,9291,338
Sinon 1413,"Quirk: One for All, 100% Detroit Smash",417336,A powerful warrior from another universe.,520,8341,4565,113
Zenitsu 1414,"Ki manipulation, instant transmission, ultra instinct",132943,A powerful warrior from another universe.,6915,7615,4197,427
Darkness 1415,"Ki manipulation, instant transmission, ultra instinct",914239,A powerful warrior from another universe.,8813,5396,893,35
Hawks 1416,"Haki, devil fruit, conqueror haki",998576,A powerful warrior from another universe.,9482,9560,6089,72
Yui 1417,"Super strength, flight, laser vision",762372,A powerful warrior from another universe.,,8180,7292,260
Zenitsu 1418,"Quirk: One for All, 100% Detroit Smash",597126,A powerful warrior from another universe.,,8533,1522,336
Todoroki 1419,"Super strength, flight, laser vision",414078,A powerful warrior from another universe.,8103,8944,8230,30
Josuke 1420,"Combat knife, martial arts, stealth",645276,A powerful warrior from another universe.,,5278,9954,410
Giorno 1421,"Stand power, time stop, vampirism",821059,A powerful warrior from another universe.,8569,6770,9534,282
Goku 1422,"Super strength, flight, laser vision",182317,A powerful warrior from another universe.,,9277,4586,496
Inosuke 1423,"Combat knife, martial arts, stealth",940592,A powerful warrior from another universe.,9363,4380,5177,453
Vegeta 1424,"Dark magic, undead army, time stop",63628,A powerful warrior from another universe.,,3661,6805,10
Zenitsu 1425,"Stand power, time stop, vampirism",626382,A powerful warrior from another universe.,6836,3320,7115,397
Inosuke 1426,"Stand power, time stop, vampirism",436096,A powerful warrior from another universe.,,7432,4509,92
Gintoki 1427,"Slime abilities, unlimited shapeshifting",593780,A powerful warrior from another universe.,,6521,7080,484
Jotaro 1428,"Soul reaper powers, bankai, hollow form",547570,A powerful warrior from another universe.,9441,2122,4235,468
Leafa 1429,"Breathing techniques, demon slayer mark",880042,A powerful warrior from another universe.,,6972,9759,129
All Might 1430,"Combat knife, martial arts, stealth",938093,A powerful warrior from another universe.,3669,9134,7761,408
Agil 1431,"Ki manipulation, instant transmission, ultra instinct",5130,A powerful warrior from another universe.,5785,1325,122,6
Todoroki 1432,"Haki, devil fruit, conqueror haki",923,A powerful warrior from another universe.,,7481,2012,341
Jotaro 1433,"Quirk: One for All, 100% Detroit Smash",56990,A powerful warrior from another universe.,9584,6029,1209,177
Sinon 1434,"Dark magic, undead army, time stop",270,A powerful warrior from another universe.,3101,6165,7951,161
Emilia 1435,"Stand power, time stop, vampirism",584969,A powerful warrior from another universe.,,8316,983,35
Superman 1436,"Firearms, explosives, tactical genius",717690,A powerful warrior from another universe.,6976,6720,216,105
Hulk 1437,"Combat knife, martial arts, stealth",766245,A powerful warrior from another universe.,,4954,9309,393
Jonathan 1438,"Quirk: One for All, 100% Detroit Smash",393306,A powerful warrior from another universe.,7225,6271,350,308
Goku 1439,"Sharingan, Rinnegan, Susanoo, genjutsu",872635,A powerful warrior from another universe.,3620,8295,1602,183
Spider Man 1440,"Haki, devil fruit, conqueror haki",544202,A powerful warrior from another universe.,,5707,929,86
Emilia 1441,"Soul reaper powers, bankai, hollow form",149580,A powerful warrior from another universe.,,6249,8417,478
Madara 1442,"Super strength, flight, laser vision",72253,A powerful warrior from another universe.,934,7817,9378,367
Naruto 1443,"Quirk: One for All, 100% Detroit Smash",64581,A powerful warrior from another universe.,2841,3480,5858,93
Zenitsu 1444,"Quirk: One for All, 100% Detroit Smash",276408,A powerful warrior from another universe.,,6802,1884,196
Kirito 1445,"Ki manipulation, instant transmission, ultra instinct",931522,A powerful warrior from another universe.,,2851,325,64
Captain America 1446,None,959477,A powerful warrior from another universe.,,2737,6053,392
Goku 1447,"Stand power, time stop, vampirism",653814,A powerful warrior from another universe.,6589,1574,7293,12
Hulk 1448,"Super strength, flight, laser vision",676096,A powerful warrior from another universe.,,2129,9963,408
Eren 1449,"Speed force, time travel, infinite mass punch",169489,A powerful warrior from another universe.,,5954,7976,194
Inosuke 1450,"Super strength, flight, laser vision",252843,A powerful warrior from another universe.,,6227,4100,74
Aqua 1451,"Soul reaper powers, bankai, hollow form",243509,A powerful warrior from another universe.,,9879,3389,401
Thor 1452,"Slime abilities, unlimited shapeshifting",630542,A powerful warrior from another universe.,1897,1609,2238,489
Saitama 1453,"Soul reaper powers, bankai, hollow form",170712,A powerful warrior from another universe.,8546,192,6341,305
Sasuke 1454,"Combat knife, martial arts, stealth",703538,A powerful warrior from another universe.,2135,1232,4672,1
Thanos 1455,"Breathing techniques, demon slayer mark",971890,A powerful warrior from another universe.,2432,8572,9655,56
Tanjiro 1456,"Speed force, time travel, infinite mass punch",575295,A powerful warrior from another universe.,,7657,8024,370
Asuna 1457,"Titan shifter, 3D maneuver gear",354499,A powerful warrior from another universe.,9550,4400,1424,208
Captain America 1458,"Super strength, flight, laser vision",221138,A powerful warrior from another universe.,,100,1957,192
Thor 1459,"Haki, devil fruit, conqueror haki",883824,A powerful warrior from another universe.,323,9064,8707,121
Aqua 1460,"Firearms, explosives, tactical genius",813156,A powerful warrior from another universe.,,5414,6603,373
Todoroki 1461,"Ki manipulation, instant transmission, ultra instinct",796018,A powerful warrior from another universe.,9345,50,4586,61
All Might 1462,"Sharingan, Rinnegan, Susanoo, genjutsu",44953,A powerful warrior from another universe.,,6457,3837,186
Inosuke 1463,"Combat knife, martial arts, stealth",513414,A powerful warrior from another universe.,,7120,3113,358
Thor 1464,"Soul reaper powers, bankai, hollow form",146901,A powerful warrior from another universe.,,9750,287,173
Sasuke 1465,"Slime abilities, unlimited shapeshifting",166015,A powerful warrior from another universe.,2075,4390,3631,252
Ichigo 1466,"Ki manipulation, instant transmission, ultra instinct",490124,A powerful warrior from another universe.,,5250,7253,91
All Might 1467,"Quirk: One for All, 100% Detroit Smash",887396,A powerful warrior from another universe.,1307,1507,9065,140
Thor 1468,"Soul reaper powers, bankai, hollow form",315373,A powerful warrior from another universe.,2119,1953,6413,2
Kirito 1469,"Haki, devil fruit, conqueror haki",703735,A powerful warrior from another universe.,,5865,181,63
Yui 1470,"Dark magic, undead army, time stop",706721,A powerful warrior from another universe.,,7930,9601,19
Rengoku 1471,"Haki, devil fruit, conqueror haki",684815,A powerful warrior from another universe.,,9442,150,27
Aqua 1472,"Dark magic, undead army, time stop",22522,A powerful warrior from another universe.,9375,7807,9043,214
Yui 1473,"Super strength, flight, laser vision",944125,A powerful warrior from another universe.,8988,6039,8475,271
Mikasa 1474,"Quirk: One for All, 100% Detroit Smash",911689,A powerful warrior from another universe.,1584,2478,4347,33
Darkness 1475,"Haki, devil fruit, conqueror haki",459839,A powerful warrior from another universe.,6977,1592,763,309
Thor 1476,"Dark magic, undead army, time stop",288083,A powerful warrior from another universe.,7573,5401,1913,382
Sinon 1477,"Titan shifter, 3D maneuver gear",501039,A powerful warrior from another universe.,,1655,6506,124
Bakugo 1478,"Ki manipulation, instant transmission, ultra instinct",55149,A powerful warrior from another universe.,2407,5258,3524,471
Kakashi 1479,"Sharingan, Rinnegan, Susanoo, genjutsu",725748,A powerful warrior from another universe.,,5505,9434,376
Leafa 1480,"Haki, devil fruit, conqueror haki",103185,A powerful warrior from another universe.,9444,465,7066,500
Deku 1481,"Sharingan, Rinnegan, Susanoo, genjutsu",851959,A powerful warrior from another universe.,899,2752,4933,368
Subaru 1482,"Quirk: One for All, 100% Detroit Smash",116421,A powerful warrior from another universe.,,894,7121,84
Rimuru 1483,"Soul reaper powers, bankai, hollow form",37101,A powerful warrior from another universe.,1615,2266,3933,296
Madara 1484,"Haki, devil fruit, conqueror haki",599107,A powerful warrior from another universe.,6083,6878,540,160
Jotaro 1485,"Breathing techniques, demon slayer mark",686099,A powerful warrior from another universe.,,864,2128,154
Goku 1486,"Slime abilities, unlimited shapeshifting",183179,A powerful warrior from another universe.,,1017,6596,254
Vegeta 1487,"Stand power, time stop, vampirism",112264,A powerful warrior from another universe.,,6936,9276,76
Itachi 1488,"Super strength, flight, laser vision",123347,A powerful warrior from another universe.,7727,6965,377,167
Madara 1489,"Stand power, time stop, vampirism",743790,A powerful warrior from another universe.,5058,1911,8777,278
Goku 1490,"Super strength, flight, laser vision",78173,A powerful warrior from another universe.,5221,2212,1550,57
Ainz 1491,"Titan shifter, 3D maneuver gear",250176,A powerful warrior from another universe.,,4409,5705,51
Spider Man 1492,"Sharingan, Rinnegan, Susanoo, genjutsu",970743,A powerful warrior from another universe.,3018,4318,8439,111
Gintoki 1493,"Slime abilities, unlimited shapeshifting",940383,A powerful warrior from another universe.,,6011,3148,191
Thor 1494,"Haki, devil fruit, conqueror haki",95215,A powerful warrior from another universe.,1904,694,6025,44
Subaru 1495,"Breathing techniques, demon slayer mark",380457,A powerful warrior from another universe.,,669,5526,163
Hulk 1496,"Slime abilities, unlimited shapeshifting",458021,A powerful warrior from another universe.,7666,6051,9803,284
Darkness 1497,"Haki, devil fruit, conqueror haki",310172,A powerful warrior from another universe.,9076,3971,2261,203
Thanos 1498,"Quirk: One for All, 100% Detroit Smash",372581,A powerful warrior from another universe.,,4573,8014,93
Tanjiro 1499,"Combat knife, martial arts, stealth",948778,A powerful warrior from another universe.,8367,117,5884,430
Deku 1500,"Breathing techniques, demon slayer mark",636928,A powerful warrior from another universe.,,1239,6882,265
Spider Man 1501,"Speed force, time travel, infinite mass punch",969612,A powerful warrior from another universe.,,2022,376,394
Batman 1502,"Slime abilities, unlimited shapeshifting",987308,A powerful warrior from another universe.,4784,5948,3315,384
Captain America 1503,"Combat knife, martial arts, stealth",608474,A powerful warrior from another universe.,,502,6698,463
Hulk 1504,"Breathing techniques, demon slayer mark",945342,A powerful warrior from another universe.,,42,7908,35
Tanjiro 1505,"Quirk: One for All, 100% Detroit Smash",978477,A powerful warrior from another universe.,,494,2871,223
Josuke 1506,"Ki manipulation, instant transmission, ultra instinct",848455,A powerful warrior from another universe.,,2935,4090,95
Klein 1507,"Quirk: One for All, 100% Detroit Smash",77191,A powerful warrior from another universe.,7352,6966,3091,156
Superman 1508,"Soul reaper powers, bankai, hollow form",469161,A powerful warrior from another universe.,9969,1503,4423,403
Rengoku 1509,"Sharingan, Rinnegan, Susanoo, genjutsu",181284,A powerful warrior from another universe.,,9471,2124,478
Madara 1510,"Haki, devil fruit, conqueror haki",675106,A powerful warrior from another universe.,6239,5307,1047,381
Darkness 1511,None,810654,A powerful warrior from another universe.,3970,6472,3099,23
Agil 1512,"Speed force, time travel, infinite mass punch",169536,A powerful warrior from another universe.,,4846,1516,257
Ichigo 1513,"Sharingan, Rinnegan, Susanoo, genjutsu",441899,A powerful warrior from another universe.,3583,7379,3191,107
Thanos 1514,None,897803,A powerful warrior from another universe.,4040,858,171,172
Captain America 1515,"Quirk: One for All, 100% Detroit Smash",100038,A powerful warrior from another universe.,672,3347,2190,310
Vegeta 1516,"Soul reaper powers, bankai, hollow form",581052,A powerful warrior from another universe.,4298,9792,8476,121
