speed,strenght,iq,battleiq
383481,808433,70,118
738316,537187,179,170
971493,899195,102,151
287383,462267,128,210
404881,736308,289,175
884263,865391,58,192
800546,888857,262,94
75261,871671,254,154
604929,787986,293,145
802890,975292,18,140
889757,666875,175,200
899228,551936,140,6
189933,198520,259,205
343052,485991,50,263
171764,457302,12,267
736334,483966,273,194
708744,898615,77,203
231496,800078,215,40
896819,756322,4,115
710904,346617,144,85
344836,944799,55,15
871910,406358,181,236
475995,971560,220,109
601525,944243,42,4
500524,42684,156,19
990819,16697,0,25
464855,601427,292,286
464936,605597,201,126
170715,19207,21,218
676638,85635,148,73
825654,592236,290,288
448956,803714,63,202
725316,649413,266,278
835500,580671,73,163
895615,812564,15,43
263756,171949,267,38
345103,808275,62,269
656436,282799,3,95
901301,329291,85,289
430554,946300,187,70
295421,73139,284,117
877805,348980,102,255
374325,762185,8,296
386192,619260,224,14
990788,210920,229,245
622110,692392,286,288
75711,959693,297,94
392773,486313,229,266
591677,938706,150,7
115054,134989,272,45
703964,313514,70,98
465520,65864,21,229
108420,111835,209,134
660359,483296,129,185
308724,924113,65,126
666296,908683,49,85
659918,46843,147,238
888089,994478,118,1
402419,433953,92,178
594738,687612,220,299
755960,350830,58,20
745524,171792,38,97
861679,215947,293,261
85970,585765,295,165
836783,618405,107,237
615162,824261,284,177
484113,331129,239,21
588804,694357,177,35
86846,127035,112,150
330751,184408,61,101
659192,562639,199,207
993776,39763,89,44
70548,450142,234,141
810974,417412,214,3
565276,134432,160,289
191525,213151,213,23
558257,925476,84,291
824390,634870,151,25
318530,963409,227,119
499233,665835,264,43
156754,379555,86,291
698407,497853,247,239
847091,703369,31,195
133660,398086,137,53
512866,669797,224,224
610167,216115,70,179
480648,519118,167,176
617921,796196,104,227
198113,386067,20,265
480188,132866,103,63
391164,265090,66,249
970415,665510,178,17
614417,696591,259,8
847738,973595,188,12
833315,72196,95,279
713995,372056,37,39
684780,231884,131,33
685406,853053,206,99
603228,433723,277,191
920349,608416,198,171
848720,45145,80,127
234187,850820,111,168
418636,208407,48,12
581142,239865,127,190
241352,883684,96,294
328562,679874,87,175
235078,743383,199,104
739816,875542,159,23
770878,366225,108,80
851314,754731,272,10
621776,895228,194,58
734515,14063,113,194
764252,553790,176,39
186536,661709,207,114
594085,112254,2,287
858022,723627,72,150
394244,348608,165,124
742873,981723,247,29
470972,24564,276,270
509478,620339,257,25
489795,40918,75,226
596408,559943,183,215
392357,605309,280,52
261216,232421,288,65
137784,913083,195,182
116976,917653,231,149
887451,422404,249,229
764439,728819,262,55
264385,889125,271,199
460312,285302,101,25
729800,850996,124,84
80112,165476,136,210
548788,845909,80,15
303160,925580,67,173
963627,733694,21,109
395178,834642,210,99
713048,456219,268,288
875988,690821,153,5
528654,969035,292,43
174380,380022,18,299
986188,659095,163,112
323015,540072,181,36
372546,839995,248,119
140746,479775,69,145
162094,814402,112,231
115618,845990,136,173
822772,850664,215,201
81582,386923,0,213
856863,374737,241,242
497143,865916,171,188
840882,937069,123,104
473281,772681,153,296
666603,444934,277,232
187524,39298,104,225
611246,482011,226,14
194640,403372,88,182
24964,617911,111,68
693770,805523,264,81
92823,770522,279,100
26751,42611,138,208
9059,42800,238,159
881714,408489,233,66
442835,201779,92,53
504214,643916,286,260
292083,173265,74,186
248577,867902,138,232
415276,803753,116,104
142585,919306,163,55
815323,937201,70,84
721769,16217,286,148
877472,126686,183,46
417017,573986,183,173
419189,953564,149,54
707864,457325,232,43
158211,81455,254,43
29673,564505,67,241
979934,145194,177,198
423217,823549,60,77
242884,42950,278,120
142438,700798,45,38
514194,796217,66,106
772648,411722,183,6
494039,590101,175,103
749834,363441,259,116
474254,525396,165,292
134859,772410,119,114
599272,988095,174,287
466241,674262,231,32
783013,231847,7,264
669926,28909,193,56
699321,616535,227,130
673218,124590,161,70
435732,19483,212,78
381848,601197,173,25
691612,867757,7,138
650216,537324,25,155
757907,190078,50,122
900897,630804,178,260
981759,297029,53,88
650472,773237,284,135
648193,748100,271,172
548278,477840,244,103
727776,529134,85,80
421949,909064,71,118
624557,806794,14,235
390635,434973,249,113
421519,797381,158,237
270758,710831,293,89
755102,480252,1,77
516815,771395,59,205
198024,176560,153,272
441195,859195,5,177
565940,390554,140,197
360076,388060,105,109
128640,855401,258,73
977938,420640,72,136
701709,17229,20,161
56233,901215,130,188
683159,857929,226,274
253703,932029,178,171
540174,923737,85,92
66770,420704,56,102
699383,827237,81,101
27374,429851,260,139
443193,600140,104,64
464659,217875,18,2
645111,35764,149,118
909615,253151,12,108
402097,383320,25,89
301405,862493,193,169
215646,420304,252,18
969008,705523,125,227
111672,443637,147,34
94337,449993,77,90
882056,444151,32,278
541321,467003,95,34
994910,34297,253,125
644817,708526,111,57
290590,279651,143,282
317258,897509,253,264
913960,817938,117,71
7787,156779,223,176
8893,475922,75,232
164111,429646,26,59
404298,377571,185,2
531303,134100,206,274
105794,552467,125,212
531257,368783,224,139
27055,690126,74,262
753428,911539,197,271
145758,300807,18,224
508829,339092,100,229
593194,676260,72,213
773820,109713,118,214
706013,613536,250,217
263144,666978,161,180
124112,380343,60,129
589997,334943,58,166
802455,253787,284,77
63923,229698,250,62
544050,848083,291,239
894383,512608,267,296
839162,522147,199,50
883675,544127,43,144
715588,691442,213,163
513393,155966,2,196
51368,991627,15,249
893618,419815,170,12
190290,935017,89,181
921188,224667,223,12
223728,146357,204,7
850914,796376,39,181
166250,82360,36,284
629399,363375,265,133
873511,898791,285,6
198147,870078,290,202
283807,740191,163,299
169010,758496,291,98
138953,862367,55,96
250853,279457,7,42
743402,951115,151,44
944306,133758,132,124
241398,198453,41,156
650998,41763,235,134
11235,230397,298,152
775505,289018,41,235
451783,675279,146,27
852921,521605,233,160
493142,457720,182,281
892030,485258,128,154
142451,305430,284,15
811900,438142,105,91
768986,753067,13,296
534413,513765,99,208
752255,149717,297,185
9018,62826,258,37
270869,976531,101,2
719900,233390,273,103
581252,616111,157,191
89791,620915,31,58
453523,895764,115,102
75889,920219,88,56
150577,710297,48,247
390748,108349,188,246
987524,402506,213,188
34253,156461,129,237
339997,654870,227,121
923855,409685,140,44
107014,249490,272,139
544128,632315,63,51
669859,971235,73,240
613238,590732,17,220
500533,631491,126,87
720191,815614,107,44
884954,567890,253,16
423054,606236,144,163
615371,644902,249,100
62916,748292,266,38
945206,67622,97,29
295000,60217,23,112
791604,421377,64,196
919371,157025,57,177
966121,904053,147,50
441624,407189,93,138
67602,413422,161,51
274734,408868,252,78
402547,303707,116,25
908337,122589,38,98
520252,278800,184,174
409414,967798,17,75
780633,652260,189,51
878360,205471,18,126
92885,102894,66,193
421247,648584,181,67
581353,975165,49,26
122737,292825,69,159
677473,217593,188,20
847369,187116,160,152
435241,777260,254,150
412356,115234,98,226
508138,824157,140,200
63645,606396,7,178
93091,479528,110,205
530084,379060,28,32
265458,681686,293,4
685272,606399,11,269
624006,790494,170,144
759483,828870,46,110
675559,594705,33,48
777925,298747,113,24
969573,154281,16,140
52113,226795,298,202
964283,902062,183,143
648268,194752,265,92
119439,517250,247,287
607432,427448,186,132
911003,532167,31,106
758370,134386,284,251
618269,542670,95,130
641181,604489,4,174
377068,739216,121,62
411423,917204,191,257
203034,676135,195,98
828329,361227,124,119
247930,661048,232,194
252398,468534,12,147
483392,400869,92,231
886402,836977,99,160
785067,525833,173,25
204739,359321,200,119
680349,254950,77,19
381705,41414,252,252
586326,100560,178,198
12418,771176,161,159
823459,717336,143,293
615284,620840,17,155
786601,42986,124,229
401184,730100,266,246
622329,385889,74,32
549425,506719,137,294
228748,300250,101,198
931356,182236,118,44
848323,376821,242,40
911942,795828,24,30
10679,774502,80,297
768562,685037,82,135
644785,334726,148,181
441822,876476,215,113
765878,706774,82,249
261506,739820,245,217
901008,941151,275,138
646808,573928,86,77
443966,412939,63,246
855584,559024,267,243
750610,814231,204,61
767066,377226,193,58
923045,375593,163,123
119418,411804,179,145
133551,935609,258,36
25809,384542,171,114
352026,703040,160,72
307065,981838,299,149
739483,978225,246,156
502156,532543,62,188
324235,466902,148,294
300951,469498,254,28
601156,317629,56,160
471977,9432,176,117
230527,643233,35,82
258690,407702,136,232
890350,407454,266,245
181529,908683,187,159
404193,237378,209,129
923714,570521,216,292
645969,886114,114,86
178793,922601,169,119
892962,295841,53,282
976191,955005,103,139
429166,6081,25,99
121211,166826,137,77
476780,534524,87,267
176365,82404,233,211
657803,103067,266,221
181480,862361,5,72
383457,556167,175,155
539383,799454,268,295
326108,769480,199,151
193384,246230,49,293
307019,584608,61,37
795777,968776,223,110
658220,683505,182,228
391469,745209,106,219
741098,915486,63,21
789716,759442,256,121
428223,966039,142,264
793558,340874,51,268
275309,634311,219,181
938544,514430,240,123
533247,336586,268,53
39088,398464,199,74
916582,640726,145,255
336176,573815,172,27
740890,28295,73,139
428112,212159,188,255
188372,556514,198,46
274547,915129,75,26
280924,486470,64,155
403047,713216,98,5
679858,929796,97,72
872124,360220,189,168
327314,911981,24,274
46958,342406,45,140
901298,101737,279,192
425211,72269,163,24
711160,77931,137,19
757728,445907,134,114
523772,272615,171,203
988086,177528,207,38
842046,288684,254,241
599001,19680,133,224
737502,495017,85,249
90873,975526,98,28
527491,922916,82,80
442315,575413,88,210
199870,505764,249,297
81592,826616,104,161
588688,118209,95,194
511519,885204,47,276
947739,915959,131,197
949479,365496,213,106
733269,781597,274,129
927447,604325,79,134
363332,940108,236,262
475135,364505,171,211
423882,848190,230,75
388640,189618,33,219
130353,669141,110,105
810190,438153,8,281
26,49599,19,47
594593,816821,190,139
454112,413377,98,225
57228,120030,224,261
327504,664728,284,35
610943,66126,155,133
248830,305842,253,298
792386,262205,28,169
775375,340736,194,284
66319,660208,272,93
912457,838840,249,160
657039,899739,138,10
120641,165584,114,28
82383,663945,267,135
584514,628260,205,40
475819,413886,102,174
799131,817303,241,130
114815,828365,110,154
494134,684502,34,245
207762,583913,239,271
28094,817317,14,223
735305,903807,22,273
629914,621379,44,2
120287,1172,205,130
558147,374400,55,111
839958,956186,228,84
565518,625942,234,153
697809,285074,112,150
777929,806870,120,220
995793,558145,19,60
106259,960870,92,17
716578,62833,186,268
476916,651589,84,72
932402,460952,200,199
887456,623383,93,8
301718,786936,22,240
474741,861241,129,40
340000,600060,55,38
336484,104104,243,54
748169,543162,112,59
974070,335857,122,167
480193,319326,99,255
926251,470711,135,18
889284,398042,165,3
619273,401143,260,172
357790,350392,78,265
85904,580273,71,0
438643,252702,221,299
615976,752417,220,243
210284,713646,287,48
800585,660170,175,298
161401,313275,108,74
41453,196946,42,27
937724,203284,13,126
197819,117817,180,119
682386,207587,280,28
414999,117905,26,5
129272,786151,140,243
839727,643237,62,128
132078,592759,18,136
782821,346582,147,77
724108,90821,237,65
627119,540121,100,50
416383,361243,117,10
436927,909226,65,77
706061,722957,158,248
485013,9981,130,299
243051,909973,120,133
786794,155843,54,162
277824,996435,196,264
376092,231509,168,142
391350,751715,285,258
718425,757469,167,57
357236,62327,72,27
539149,177810,82,202
383249,322812,38,217
353613,335861,59,120
274797,464678,41,187
523499,777997,276,160
215836,694058,167,190
955138,143367,152,271
326259,899720,99,222
516261,162623,197,90
246590,383688,200,139
71418,413314,239,157
920334,912355,117,10
609280,68411,122,266
379695,680625,90,198
67880,994589,187,168
638626,384803,29,208
612677,562385,233,228
845218,798364,180,283
891527,110448,93,23
720196,670206,38,32
256314,337508,244,232
159374,961625,77,186
601339,900501,139,173
952448,411760,68,17
455036,745259,89,251
958139,612856,78,222
680287,805509,58,18
382785,328363,59,281
690259,18734,170,300
472282,267372,113,269
412724,438801,263,22
702006,848294,118,137
575185,185574,70,6
701573,878076,288,160
2530,909098,25,278
614341,361019,238,60
953020,509389,225,187
22979,485458,164,299
850349,348008,245,183
650690,720091,238,20
47940,839628,51,270
66858,834444,299,211
293369,108646,109,4
495220,73237,3,15
608798,420601,160,233
17457,663851,249,209
891535,727713,164,128
468286,950483,210,142
831128,868095,287,193
531794,631072,155,97
700166,670360,157,163
354575,730188,7,199
127588,956723,152,131
355256,302557,163,222
83254,351103,292,198
652368,855623,222,231
438450,129385,293,51
775589,58328,135,100
889041,693554,174,166
452802,491202,273,293
531728,86715,219,177
270552,213476,200,167
254652,583968,224,181
819173,120477,142,76
987970,317037,118,226
45981,610755,112,103
40740,274705,94,199
913648,651130,251,7
900489,822677,265,50
676677,517579,140,285
892994,487789,36,176
522001,921718,12,259
374846,311734,298,202
765585,504352,184,285
853621,74691,154,43
895919,202661,41,262
13018,416136,80,158
283544,186561,92,113
824696,283573,145,103
132379,392550,221,286
394820,701659,171,101
410293,597757,198,246
773454,108751,53,156
391795,191879,249,46
175651,176178,16,280
324510,610532,259,259
724448,614441,61,179
529828,993463,80,44
930553,675932,185,199
765180,461687,244,240
448269,895668,192,151
828768,939277,118,255
894136,861588,57,252
261503,716686,74,50
763799,723969,178,199
529057,677371,160,185
332548,714153,113,251
597059,338573,76,273
584382,838966,191,183
565935,447436,236,6
418754,359539,51,133
625604,979805,114,40
170667,591589,21,98
86744,8362,57,132
795716,347093,297,33
410058,784119,174,204
528251,122933,171,160
151551,327707,261,142
558168,51930,102,130
410282,95723,211,101
297298,737588,36,82
404977,117811,255,48
526018,622567,292,36
864748,317488,60,174
854036,714359,157,161
943972,767746,172,205
289329,694065,294,115
116820,950057,133,130
982718,878220,58,279
651529,172739,21,217
865041,486399,279,26
191448,610405,62,33
59880,576405,108,50
476113,219157,224,85
387270,430993,207,147
811330,658555,37,299
56743,431127,292,282
697801,802123,40,107
995866,486123,106,90
864498,917219,74,182
662087,519849,233,198
30486,559545,7,97
606782,496460,210,236
592697,557473,274,78
682418,276550,19,207
884758,459292,250,166
406426,777785,64,278
601828,253293,105,55
226831,933011,267,200
690035,214594,212,209
894199,535276,62,199
91894,444902,114,27
717269,301661,296,218
616580,665183,166,115
766965,39129,8,284
65403,844508,52,296
36052,781641,223,185
551183,312839,68,20
655121,930287,185,185
103310,337755,253,50
975380,122120,34,74
393027,648911,199,17
48532,298969,96,93
817444,842339,177,291
533890,580308,143,241
120961,926003,12,241
564829,250601,192,17
152798,553454,155,203
355306,546199,143,78
938489,462679,112,34
441425,718038,94,141
470179,849577,152,68
262137,380747,67,158
449974,15532,173,101
964006,669200,88,13
551171,268580,106,27
968825,643821,128,8
52070,494526,68,133
163772,724325,181,55
901100,847817,2,120
997916,125656,248,23
49192,791379,297,141
167635,562532,155,64
993614,229747,232,132
639675,452785,51,295
342665,917767,144,79
673322,276943,133,139
574907,311855,287,190
301359,186557,219,30
362436,863287,190,120
386065,638039,148,270
46634,508383,4,128
67160,680177,110,222
787308,919473,106,90
77473,486419,279,15
475433,783972,240,131
79265,744521,62,31
74198,456143,185,198
315608,106291,151,218
295781,891643,82,34
58815,268270,12,31
685085,272552,219,139
209558,637154,295,225
363949,853344,100,8
472654,860624,79,86
226365,488173,64,73
970219,546937,37,225
97374,633391,288,135
265925,270367,201,185
256525,992211,237,273
156610,576425,211,67
675811,35992,43,168
682622,502913,241,93
9067,125035,99,220
254205,713836,220,262
326866,549091,146,138
862255,693342,229,184
113506,314011,189,164
380771,498401,134,136
818013,967112,213,199
616490,822376,236,17
830436,906245,233,231
564551,382979,37,212
170693,606733,288,23
737715,20605,259,229
896173,874029,4,3
51542,930017,293,44
368738,821196,151,163
812393,334175,282,212
232842,944223,120,156
897335,360473,148,5
295146,55120,137,187
709975,283388,226,176
898006,613929,52,120
987328,763791,261,243
977070,987327,268,274
645685,691976,133,1
666701,439356,58,223
808192,90997,220,220
755515,547070,229,166
431046,784753,58,255
494015,879256,220,168
772735,51258,254,98
497060,813140,135,257
365344,577976,69,146
369822,167100,15,206
802088,415514,154,132
315186,794457,130,216
614227,439677,162,161
952400,690079,115,216
95638,90050,68,22
789836,55915,175,39
924546,581319,44,175
955670,310254,29,9
273354,183295,85,138
47708,994536,294,128
956816,811708,189,190
163059,489339,36,123
659873,934561,30,223
45488,424948,137,20
997910,779495,113,290
11008,759623,175,133
88670,280547,118,227
878321,340252,120,149
277219,716581,100,237
799,282009,113,8
406284,264546,14,125
654539,67935,205,167
732207,644964,291,98
285902,707104,208,226
460945,813739,46,150
394184,443030,117,39
204185,124925,153,96
723211,598443,74,162
598036,250209,62,102
219637,422303,125,8
615570,225055,24,201
304092,538085,248,112
51220,265575,246,112
732850,620682,102,230
411490,776181,174,197
17265,476718,280,233
734291,975811,144,136
822426,142007,193,213
765956,202866,197,48
359351,423528,131,195
188467,505351,90,233
770148,48568,223,2
33989,764015,58,167
382989,500937,279,150
320210,595153,181,172
645479,353436,207,109
188256,17057,246,10
278647,844949,172,282
206324,330637,154,108
311260,80116,32,179
41081,89264,148,71
79240,30047,67,152
794740,460480,152,20
578262,457274,273,224
437860,198928,114,75
600868,237377,291,134
618650,179234,262,30
686305,687634,146,70
374478,888606,299,132
323771,798600,136,261
25844,106154,4,170
658723,199103,285,213
67810,62318,205,65
216830,709052,158,231
219280,423534,41,120
418566,793228,176,275
884608,761921,190,145
846035,726307,214,131
882075,533002,238,152
976122,198613,172,81
792894,391955,93,251
249079,205156,251,193
309511,790992,179,205
434711,773654,19,203
728866,946036,84,172
179645,274220,299,68
570612,778684,15,177
889794,74387,181,68
650798,949205,106,205
890022,871483,230,27
368348,564032,106,231
105694,763555,33,108
94477,700167,144,162
41280,102497,171,43
636515,703645,251,279
494264,40008,170,55
379628,541853,95,182
539498,932542,243,11
645854,374467,132,139
249194,96372,125,264
386117,737078,60,106
313435,720263,235,110
64369,882839,89,139
647037,708896,91,229
885211,344388,199,271
61812,887835,275,262
407939,323165,281,282
405504,214289,92,185
125584,313958,54,241
979842,644619,277,134
844502,8473,21,13
627245,960008,290,194
973258,429560,182,144
431514,979257,242,225
529627,380630,167,70
381418,483804,189,155
268524,522461,80,283
357145,933292,42,122
50372,152667,165,222
875594,462281,43,172
55031,380462,109,9
171881,190260,88,239
878002,452940,94,283
221517,464220,92,183
544824,531473,263,38
615329,963337,15,181
428886,708075,38,245
694907,839638,104,248
5986,202598,135,265
407818,28808,20,14
612942,120164,290,214
142082,686905,173,10
262441,709107,156,158
174822,438584,33,194
967423,452915,94,70
497822,853878,275,264
518727,913277,285,149
614034,984327,47,237
442374,923365,73,74
824999,22218,18,232
670748,734792,221,279
644737,353723,265,185
390486,610929,282,61
354894,604583,272,59
69673,234951,179,199
552884,801574,64,58
324479,702744,283,244
230648,163772,159,196
582859,84955,157,25
142748,727037,11,225
561093,871647,57,32
53915,434190,103,50
804178,182307,78,184
773598,149199,159,111
673777,104630,0,126
534266,342447,190,58
622758,507151,245,127
534083,508627,271,66
587955,521491,175,94
930869,724999,182,100
153234,486191,72,132
606665,214093,204,80
44470,841200,246,286
101984,914466,82,266
810599,9878,271,300
356990,422949,289,259
641533,187215,159,207
279198,238236,164,116
773390,867110,177,261
616442,123998,151,35
359457,407286,222,212
205218,261095,290,91
527346,784253,288,204
742499,609939,233,246
880390,216208,227,124
858375,635077,277,196
13989,450783,243,12
422269,658272,69,85
247087,858240,117,173
50902,270535,148,67
592747,348575,161,190
138656,975818,283,15
678584,601036,60,238
709632,506076,82,219
201441,243824,158,181
358219,597379,29,300
852717,540742,65,118
860741,210636,166,36
100376,92470,149,259
380966,973829,161,251
780417,713373,150,66
171643,380547,241,77
103415,445270,146,255
364110,785790,243,21
333929,781095,255,245
528950,172707,120,40
284009,453141,125,114
431116,282627,258,226
134002,287945,200,138
836053,365960,234,198
387926,724448,167,119
956665,111981,203,235
781754,804073,95,91
685777,266590,136,52
171291,783559,85,247
357043,500915,104,229
453407,445915,207,28
775026,567880,89,268
406041,178515,159,268
67999,707352,256,179
949336,380877,183,223
831621,829837,11,144
306380,104574,18,144
768762,648186,80,295
122222,536887,148,64
405810,937127,198,192
391848,56413,174,245
524938,902634,134,190
690259,824848,244,182
954218,70554,138,65
586873,437208,11,181
68368,357455,193,36
858233,702135,159,3
594385,153697,15,286
922521,22905,238,186
268365,890633,84,263
270360,560726,87,67
155453,443418,15,97
510601,900614,275,162
109538,144160,295,46
369481,584857,272,189
597834,21421,136,29
417937,684469,199,276
314737,144310,204,196
59364,18039,67,233
375833,941484,55,42
202713,318952,196,15
976766,380430,217,254
577488,94922,238,297
262212,328192,139,124
359778,67244,125,177
791408,81664,213,145
949451,950008,132,21
141769,338223,0,84
84492,629004,33,14
451936,453531,222,141
365510,447708,224,212
801426,829093,218,44
552056,904683,257,1
563307,315240,257,116
847086,668168,70,108
985884,309014,88,228
502005,984008,55,187
804460,455724,174,0
11349,544631,193,8
478474,795958,31,284
210872,307123,81,285
672575,164294,69,299
919363,6195,163,243
64459,66534,164,132
509984,443283,4,18
203488,849526,197,62
437681,497421,188,29
515244,98013,244,175
723993,126631,247,217
150077,304252,242,121
661130,533137,273,48
512888,630945,191,0
514383,579338,170,58
976859,445949,27,14
978139,55881,200,152
467124,528135,97,251
264727,430567,101,106
935166,882699,202,296
838974,82025,114,128
436005,497723,259,80
605909,417319,104,253
27705,445798,252,50
836443,446388,183,261
452584,74235,123,267
822613,748433,274,166
190018,799752,200,161
18177,972449,196,272
698301,695604,111,181
40973,294822,190,4
985444,838561,150,259
367869,31159,82,113
574580,34240,263,38
549837,471304,13,215
763099,330309,114,234
520208,524154,52,273
188613,660222,73,144
164279,477030,21,270
358808,429287,226,233
227630,905365,148,185
608076,227574,249,248
939510,752895,195,176
37322,119638,140,100
204143,81781,165,51
436207,873175,33,53
444600,857,235,291
638809,756205,23,284
760330,442280,185,4
920457,502490,131,260
116923,428433,6,239
953260,221426,0,278
175778,390685,97,101
504314,287966,268,3
305064,640941,72,92
190982,589798,81,43
607509,990616,99,164
472036,402694,207,70
386709,315372,27,152
721771,590280,26,4
737837,774327,92,255
551763,117698,41,184
819974,475235,232,198
13928,693622,183,64
919687,127663,215,232
903913,994082,9,257
780209,908470,32,158
278737,867286,214,288
161033,399184,10,23
305886,680873,1,205
692894,949816,236,143
927678,347588,233,282
682252,586531,131,191
121934,366422,219,51
856423,144630,82,107
200725,660958,107,180
409406,639191,237,120
501927,59369,82,100
516379,718075,270,285
113251,727955,280,29
919989,997756,172,268
45029,559069,227,133
745349,386798,291,97
904605,855019,176,157
571652,943547,217,8
79845,808658,82,202
967671,794631,121,216
38228,101836,138,208
260824,799995,135,296
987310,838231,208,244
673193,511382,208,199
587550,505069,264,40
275205,738487,288,232
177678,377747,250,112
381588,100713,206,242
828456,194456,96,262
932534,714535,130,60
508028,349077,42,123
247741,99966,182,268
210061,96653,252,24
48145,238723,70,262
184481,465287,238,18
967845,30294,150,268
733777,87992,282,298
730959,54955,40,266
530312,649235,47,102
628043,506089,261,30
253991,766202,29,291
116196,351290,33,237
565061,644974,213,51
800445,10406,174,85
15656,246781,268,239
76262,9341,189,125
572361,224108,143,26
958993,330918,283,107
943017,448434,160,220
168059,25406,218,240
148231,711795,127,20
16131,964810,204,205
440087,872290,198,281
158288,634443,246,71
107255,305212,207,193
615757,859176,190,127
857512,195548,39,256
83186,819820,54,87
175299,116669,54,126
748429,515341,208,110
894896,359203,189,190
242662,890000,280,77
901740,510939,258,271
6119,773759,161,228
3059,511395,231,198
411749,30780,35,15
457145,125022,246,192
761013,512026,216,84
721530,550301,182,185
681694,383765,250,171
849576,710040,246,189
880318,496200,173,35
726369,439003,159,27
201741,547526,60,298
510631,763288,9,205
706801,162438,40,272
114952,468162,158,251
802896,866048,58,29
394540,217453,109,234
641190,490191,213,82
865660,658165,145,53
385748,409215,78,17
675056,768351,224,235
66524,60559,112,5
483132,73599,3,130
175212,154212,115,261
694519,336275,131,179
670052,962491,140,157
389932,518737,80,50
753993,57000,299,268
183172,78188,69,147
313926,383662,15,198
508018,879563,168,26
125570,149353,175,267
385515,467164,12,126
882914,814410,174,95
570982,881097,2,157
352272,176192,20,287
605484,456173,70,46
308178,475259,292,133
443462,513263,48,18
864774,442541,297,179
756662,502270,282,230
442826,875918,60,240
280466,204079,258,124
709960,335913,239,150
803755,825685,95,103
866489,64160,94,1
256074,730698,54,185
958731,233601,251,16
613398,730082,193,118
182862,394396,135,157
66729,782446,152,206
383369,399267,278,242
725888,965132,11,237
308557,625651,227,228
139204,877413,8,232
285599,229950,193,68
422016,980741,122,92
410177,286710,171,141
405993,813231,30,29
884626,843183,10,15
361674,191179,229,179
549928,908519,207,25
380669,786520,249,53
570846,258171,204,99
479558,740345,88,57
578533,8702,140,64
73461,19448,137,255
728065,825975,214,176
975965,759278,20,261
820998,349921,29,179
510357,537636,119,140
321035,43431,150,203
738882,764543,202,213
420980,400994,100,84
395683,247919,165,269
788371,876469,121,248
873114,231787,171,119
691970,656753,294,13
293948,423023,241,285
101631,23766,276,295
497477,891382,7,131
635495,339369,97,172
352910,923793,275,209
498678,982514,120,175
609728,759605,221,268
429122,351611,205,56
999179,726658,90,104
292677,930088,233,172
460279,601788,269,94
203567,179505,11,125
795833,454112,87,140
629482,469555,251,182
841361,419719,296,1
101471,502970,222,211
665287,38339,258,182
507489,426951,197,41
355023,686920,251,162
191905,807354,11,142
352392,741632,49,172
790200,310801,289,35
145658,145281,88,71
179774,582347,230,199
999963,441,268,216
260293,259094,273,262
631386,485464,126,93
478428,950295,227,282
802839,94749,222,91
291478,541895,71,235
777270,175805,25,285
870458,654508,36,66
833565,861656,90,38
291303,370652,35,122
431835,142139,123,67
458443,785701,190,263
201049,919833,281,0
278528,962366,115,265
758457,353252,75,291
278317,521706,145,232
909111,855051,71,4
150220,614368,283,38
922649,255122,114,191
100103,867890,275,292
89554,981632,137,287
953284,793710,221,78
1476,152474,126,1
646559,596890,31,98
348863,144621,297,288
55015,957023,26,31
599059,434612,107,155
630708,552501,146,118
816435,357188,230,145
719102,71043,223,285
135715,156561,8,289
6540,795800,67,245
95677,386730,270,218
934905,645382,60,123
697883,551657,282,97
318044,446578,52,43
522422,811185,26,107
953050,29047,10,225
78921,583749,284,192
536304,963559,123,218
524903,131509,29,19
328384,816873,154,97
149392,130841,247,135
467328,124158,106,110
587200,363863,212,99
340178,530277,192,272
237253,725777,84,160
362167,274705,70,144
479255,716231,187,245
20147,985043,6,26
208373,275637,61,222
715200,734138,258,293
122384,727695,227,58
842872,928983,20,86
218115,835437,96,69
712044,279812,120,264
809134,549017,222,130
877297,769043,272,185
676510,587074,201,240
600451,251235,57,71
272072,533799,61,246
891171,256166,292,62
999157,493093,35,235
826809,658739,28,292
23288,59315,123,152
658445,371421,123,45
769963,896963,298,255
627643,165781,281,291
71968,96074,81,32
978896,491959,63,136
492555,543629,267,255
852375,722656,165,54
430518,940247,226,295
172691,307014,235,200
609252,407944,40,12
612117,580700,119,120
558100,922355,123,79
81072,661633,104,91
675142,978234,9,16
207691,656624,12,138
526555,575448,128,214
81478,880427,158,14
120010,403743,199,215
863320,64924,24,292
305297,430564,20,130
528176,358185,125,156
220910,719616,167,235
485865,787733,271,275
370533,780462,46,36
741792,527734,245,146
829559,364167,245,22
584672,163598,232,36
499675,996111,160,1
168946,565169,98,13
565249,479792,162,214
564675,554774,28,199
174743,623102,128,41
116013,117677,227,219
489999,782501,4,54
368376,456431,280,260
325335,929742,91,123
996647,366125,170,69
254753,555577,79,142
234229,957107,116,108
727980,849783,248,157
687931,694570,155,224
471629,670787,173,146
384333,223539,299,33
601990,74764,236,159
429653,174874,112,128
525552,555567,257,202
19849,963496,258,9
571207,931754,265,91
998093,811919,155,208
63831,946315,224,112
469713,507981,16,171
75127,436683,135,294
307217,108161,74,205
132693,594162,57,87
40301,490700,87,249
429779,820823,299,204
944247,469566,39,73
263288,737145,46,187
822107,713367,180,24
438764,972708,125,92
220972,64340,38,147
80331,83240,108,196
604755,908994,109,194
285284,678475,85,10
966596,551318,237,245
48778,453555,118,163
254415,161756,7,135
645113,466991,107,72
24204,727977,284,187
345810,177643,120,193
